date,refactoring,qt
2009-01,EM,424
2009-01,MF,384
2009-01,MM,386
2009-01,CCE,44
2009-01,DC,44
2009-01,IPO,44
2009-01,PWO,44
2009-01,RMWMO,46
2009-01,RTWQ,44
2009-01,RCWP,6
2009-01,EH,4
2009-01,EI,4
2009-01,ESupC,4
2009-01,PF,4
2009-01,PM,4
2009-01,RDWO,4
2009-02,EM,14
2009-02,MF,11
2009-02,MM,11
2009-02,CCE,4
2009-02,DC,4
2009-02,IPO,4
2009-02,PWO,4
2009-02,RMWMO,4
2009-02,RTWQ,4
2009-02,EH,1
2009-02,EI,1
2009-02,ESupC,1
2009-02,PF,1
2009-02,PM,1
2009-02,RCWP,1
2009-02,RDWO,1
2009-03,EM,112
2009-03,MF,112
2009-03,MM,112
2009-05,EM,20
2009-05,MF,20
2009-05,MM,20
2009-08,EM,150
2009-08,MF,138
2009-08,MM,140
2009-08,CCE,14
2009-08,DC,14
2009-08,IPO,14
2009-08,PWO,14
2009-08,RMWMO,16
2009-08,RTWQ,14
2009-08,RCWP,4
2009-08,EH,2
2009-08,EI,2
2009-08,ESupC,2
2009-08,PF,2
2009-08,PM,2
2009-08,RDWO,2
2013-01,EM,36
2013-01,MF,31
2013-01,MM,31
2013-01,EH,1
2013-01,EI,1
2013-01,ESupC,1
2013-01,PF,1
2013-01,PM,1
2013-01,RCWP,1
2013-01,RDWO,1
2013-01,CCE,6
2013-01,DC,6
2013-01,IPO,6
2013-01,PWO,6
2013-01,RMWMO,6
2013-01,RTWQ,6
2013-02,EM,44
2013-02,MF,38
2013-02,MM,38
2013-02,CCE,8
2013-02,DC,8
2013-02,IPO,8
2013-02,PWO,8
2013-02,RMWMO,8
2013-02,RTWQ,8
2013-02,EH,2
2013-02,EI,2
2013-02,ESupC,2
2013-02,PF,2
2013-02,PM,2
2013-02,RCWP,2
2013-02,RDWO,2
2013-03,EM,416
2013-03,MF,334
2013-03,MM,334
2013-03,CCE,108
2013-03,DC,108
2013-03,IPO,108
2013-03,PWO,108
2013-03,RMWMO,108
2013-03,RTWQ,108
2013-03,EH,26
2013-03,EI,26
2013-03,ESupC,26
2013-03,PF,26
2013-03,PM,26
2013-03,RCWP,26
2013-03,RDWO,26
2013-04,EM,614
2013-04,MF,511
2013-04,MM,515
2013-04,CCE,118
2013-04,DC,118
2013-04,IPO,118
2013-04,PWO,118
2013-04,RMWMO,122
2013-04,RTWQ,118
2013-04,EH,15
2013-04,EI,15
2013-04,ESupC,15
2013-04,PF,15
2013-04,PM,15
2013-04,RCWP,19
2013-04,RDWO,15
2013-05,CCE,116
2013-05,DC,116
2013-05,EM,1914
2013-05,IPO,116
2013-05,PWO,116
2013-05,RMWMO,132
2013-05,RTWQ,116
2013-05,MM,1844
2013-05,RCWP,46
2013-05,MF,1828
2013-05,EH,30
2013-05,EI,30
2013-05,ESupC,30
2013-05,PF,30
2013-05,PM,30
2013-05,RDWO,30
2013-06,EM,250
2013-06,MF,238
2013-06,MM,238
2013-06,CCE,16
2013-06,DC,16
2013-06,IPO,16
2013-06,PWO,16
2013-06,RMWMO,16
2013-06,RTWQ,16
2013-06,EH,4
2013-06,EI,4
2013-06,ESupC,4
2013-06,PF,4
2013-06,PM,4
2013-06,RCWP,4
2013-06,RDWO,4
2013-07,EM,842
2013-07,MF,758
2013-07,MM,758
2013-07,CCE,100
2013-07,DC,100
2013-07,IPO,100
2013-07,PWO,100
2013-07,RMWMO,100
2013-07,RTWQ,100
2013-07,EH,16
2013-07,EI,16
2013-07,ESupC,16
2013-07,PF,16
2013-07,PM,16
2013-07,RCWP,16
2013-07,RDWO,16
2013-08,EM,272
2013-08,MF,272
2013-08,MM,272
2013-09,EM,10
2013-09,MF,10
2013-09,MM,10
2013-10,EM,154
2013-10,MF,145
2013-10,MM,145
2013-10,CCE,12
2013-10,DC,12
2013-10,IPO,12
2013-10,PWO,12
2013-10,RMWMO,12
2013-10,RTWQ,12
2013-10,EH,3
2013-10,EI,3
2013-10,ESupC,3
2013-10,PF,3
2013-10,PM,3
2013-10,RCWP,3
2013-10,RDWO,3
2013-12,EM,24
2013-12,MF,22
2013-12,MM,22
2013-12,CCE,4
2013-12,DC,4
2013-12,IPO,4
2013-12,PWO,4
2013-12,RMWMO,4
2013-12,RTWQ,4
2013-12,EH,2
2013-12,EI,2
2013-12,ESupC,2
2013-12,PF,2
2013-12,PM,2
2013-12,RCWP,2
2013-12,RDWO,2
2014-01,EM,146
2014-01,MF,146
2014-01,MM,146
2014-02,EM,566
2014-02,MF,562
2014-02,MM,562
2014-02,CCE,4
2014-02,DC,4
2014-02,IPO,4
2014-02,PWO,4
2014-02,RMWMO,4
2014-02,RTWQ,4
2014-03,EM,274
2014-03,MF,269
2014-03,MM,269
2014-03,CCE,8
2014-03,DC,8
2014-03,IPO,8
2014-03,PWO,8
2014-03,RMWMO,8
2014-03,RTWQ,8
2014-03,EH,3
2014-03,EI,3
2014-03,ESupC,3
2014-03,PF,3
2014-03,PM,3
2014-03,RCWP,3
2014-03,RDWO,3
2014-04,EM,4
2014-04,MF,4
2014-04,MM,4
2014-05,EM,248
2014-05,MF,218
2014-05,MM,218
2014-05,EH,6
2014-05,EI,6
2014-05,ESupC,6
2014-05,PF,6
2014-05,PM,6
2014-05,RCWP,6
2014-05,RDWO,6
2014-05,CCE,36
2014-05,DC,36
2014-05,IPO,36
2014-05,PWO,36
2014-05,RMWMO,36
2014-05,RTWQ,36
2014-06,EM,220
2014-06,MF,207
2014-06,MM,207
2014-06,CCE,16
2014-06,DC,16
2014-06,IPO,16
2014-06,PWO,16
2014-06,RMWMO,16
2014-06,RTWQ,16
2014-06,EH,3
2014-06,EI,3
2014-06,ESupC,3
2014-06,PF,3
2014-06,PM,3
2014-06,RCWP,3
2014-06,RDWO,3
2014-08,EM,150
2014-08,MF,138
2014-08,MM,138
2014-08,CCE,20
2014-08,DC,20
2014-08,IPO,20
2014-08,PWO,20
2014-08,RMWMO,20
2014-08,RTWQ,20
2014-08,EH,8
2014-08,EI,8
2014-08,ESupC,8
2014-08,PF,8
2014-08,PM,8
2014-08,RCWP,8
2014-08,RDWO,8
