date,refactoring,qt
2000-12,CCE,264
2000-12,DC,264
2000-12,EM,997
2000-12,IPO,264
2000-12,PWO,264
2000-12,RMWMO,290
2000-12,RTWQ,264
2000-12,MF,735
2000-12,MM,765
2000-12,EH,11
2000-12,EI,11
2000-12,ESupC,11
2000-12,PF,11
2000-12,PM,11
2000-12,RCWP,37
2000-12,RDWO,11
2000-12,EC,5
2000-12,ECo,4
2000-12,EF,4
2000-12,HM,4
2001-01,EM,830
2001-01,MF,555
2001-01,MM,602
2001-01,CCE,284
2001-01,DC,284
2001-01,IPO,284
2001-01,PWO,284
2001-01,RMWMO,324
2001-01,RTWQ,284
2001-01,EH,25
2001-01,EI,25
2001-01,ESupC,25
2001-01,PF,25
2001-01,PM,25
2001-01,RCWP,65
2001-01,RDWO,25
2001-01,EC,9
2001-01,ECo,7
2001-01,EF,7
2001-01,HM,7
2001-02,CCE,138
2001-02,DC,138
2001-02,EM,594
2001-02,IPO,138
2001-02,PWO,138
2001-02,RMWMO,148
2001-02,RTWQ,138
2001-02,MF,459
2001-02,MM,469
2001-02,EH,3
2001-02,EI,3
2001-02,ESupC,3
2001-02,PF,3
2001-02,PM,3
2001-02,RCWP,13
2001-02,RDWO,3
2001-03,EM,457
2001-03,MF,374
2001-03,MM,395
2001-03,CCE,86
2001-03,DC,86
2001-03,IPO,86
2001-03,PWO,86
2001-03,RMWMO,102
2001-03,RTWQ,86
2001-03,RCWP,26
2001-03,EH,10
2001-03,EI,10
2001-03,ESupC,10
2001-03,PF,10
2001-03,PM,10
2001-03,RDWO,10
2001-03,EC,2
2001-03,ECo,5
2001-03,EF,5
2001-03,HM,5
2001-04,EM,543
2001-04,MF,362
2001-04,MM,407
2001-04,CCE,182
2001-04,DC,182
2001-04,IPO,182
2001-04,PWO,182
2001-04,RMWMO,224
2001-04,RTWQ,182
2001-04,ECo,3
2001-04,EF,3
2001-04,HM,3
2001-04,EH,12
2001-04,EI,12
2001-04,ESupC,12
2001-04,PF,12
2001-04,PM,12
2001-04,RCWP,54
2001-04,RDWO,12
2001-04,EC,8
2001-05,CCE,120
2001-05,DC,120
2001-05,EM,235
2001-05,IPO,120
2001-05,PWO,120
2001-05,RMWMO,138
2001-05,RTWQ,120
2001-05,MF,117
2001-05,MM,136
2001-05,EC,4
2001-05,RCWP,25
2001-05,EH,7
2001-05,EI,7
2001-05,ESupC,7
2001-05,PF,7
2001-05,PM,7
2001-05,RDWO,7
2001-05,ECo,1
2001-05,EF,1
2001-05,HM,1
2001-06,EM,303
2001-06,MF,185
2001-06,MM,213
2001-06,CCE,126
2001-06,DC,126
2001-06,IPO,126
2001-06,PWO,126
2001-06,RMWMO,154
2001-06,RTWQ,126
2001-06,EH,15
2001-06,EI,15
2001-06,ESupC,15
2001-06,PF,15
2001-06,PM,15
2001-06,RCWP,43
2001-06,RDWO,15
2001-06,EC,7
2001-07,EM,486
2001-07,MF,369
2001-07,MM,376
2001-07,CCE,132
2001-07,DC,132
2001-07,IPO,132
2001-07,PWO,132
2001-07,RMWMO,138
2001-07,RTWQ,132
2001-07,EH,17
2001-07,EI,17
2001-07,ESupC,17
2001-07,PF,17
2001-07,PM,17
2001-07,RCWP,23
2001-07,RDWO,17
2001-07,EC,1
2001-07,ECo,1
2001-07,EF,1
2001-07,HM,1
2001-08,EM,219
