date,refactoring,qt
2009-09,EM,476
2009-09,MF,465
2009-09,MM,465
2009-09,CCE,14
2009-09,DC,14
2009-09,IPO,14
2009-09,PWO,14
2009-09,RMWMO,14
2009-09,RTWQ,14
2009-09,EH,3
2009-09,EI,3
2009-09,ESupC,3
2009-09,PF,3
2009-09,PM,3
2009-09,RCWP,3
2009-09,RDWO,3
2009-10,EM,32
2009-10,MF,28
2009-10,MM,28
2009-10,CCE,4
2009-10,DC,4
2009-10,IPO,4
2009-10,PWO,4
2009-10,RMWMO,4
2009-10,RTWQ,4
2010-01,EM,2316
2010-01,MF,2247
2010-01,MM,2247
2010-01,CCE,88
2010-01,DC,88
2010-01,IPO,88
2010-01,PWO,88
2010-01,RMWMO,88
2010-01,RTWQ,88
2010-01,EH,19
2010-01,EI,19
2010-01,ESupC,19
2010-01,PF,19
2010-01,PM,19
2010-01,RCWP,19
2010-01,RDWO,19
2010-04,EM,2590
2010-04,MF,2522
2010-04,MM,2524
2010-04,CCE,92
2010-04,DC,92
2010-04,IPO,92
2010-04,PWO,92
2010-04,RMWMO,94
2010-04,RTWQ,92
2010-04,EH,24
2010-04,EI,24
2010-04,ESupC,24
2010-04,PF,24
2010-04,PM,24
2010-04,RCWP,26
2010-04,RDWO,24
2010-05,EM,642
2010-05,MF,589
2010-05,MM,591
2010-05,CCE,60
2010-05,DC,60
2010-05,IPO,60
2010-05,PWO,60
2010-05,RMWMO,62
2010-05,RTWQ,60
2010-05,EH,7
2010-05,EI,7
2010-05,ESupC,7
2010-05,PF,7
2010-05,PM,7
2010-05,RCWP,9
2010-05,RDWO,7
2010-06,EM,2590
2010-06,MF,2483
2010-06,MM,2485
2010-06,CCE,132
2010-06,DC,132
2010-06,IPO,132
2010-06,PWO,132
2010-06,RMWMO,134
2010-06,RTWQ,132
2010-06,EH,25
2010-06,EI,25
2010-06,ESupC,25
2010-06,PF,25
2010-06,PM,25
2010-06,RCWP,27
2010-06,RDWO,25
2010-07,EM,1302
2010-07,MF,1241
2010-07,MM,1245
2010-07,EH,11
2010-07,EI,11
2010-07,ESupC,11
2010-07,PF,11
2010-07,PM,11
2010-07,RCWP,15
2010-07,RDWO,11
2010-07,CCE,72
2010-07,DC,72
2010-07,IPO,72
2010-07,PWO,72
2010-07,RMWMO,76
2010-07,RTWQ,72
2010-08,EM,4534
2010-08,MF,4317
2010-08,MM,4327
2010-08,CCE,252
2010-08,DC,252
2010-08,IPO,252
2010-08,PWO,252
2010-08,RMWMO,262
2010-08,RTWQ,252
2010-08,EH,35
2010-08,EI,35
2010-08,ESupC,35
2010-08,PF,35
2010-08,PM,35
2010-08,RCWP,45
2010-08,RDWO,35
2010-09,EM,3626
2010-09,MF,3391
2010-09,MM,3405
2010-09,CCE,260
2010-09,DC,260
2010-09,IPO,260
2010-09,PWO,260
2010-09,RMWMO,274
2010-09,RTWQ,260
2010-09,RCWP,39
2010-09,EH,25
2010-09,EI,25
2010-09,ESupC,25
2010-09,PF,25
2010-09,PM,25
2010-09,RDWO,25
2010-10,EM,1807
2010-10,MF,1692
2010-10,MM,1695
2010-10,CCE,124
2010-10,DC,124
2010-10,IPO,124
2010-10,PWO,124
2010-10,RMWMO,126
2010-10,RTWQ,124
2010-10,EH,10
2010-10,EI,10
2010-10,ESupC,10
2010-10,PF,10
2010-10,PM,10
2010-10,RCWP,12
2010-10,RDWO,10
2010-10,ECo,1
2010-10,EF,1
2010-10,HM,1
2010-12,EM,1026
2010-12,MF,975
2010-12,MM,977
2010-12,CCE,60
2010-12,DC,60
2010-12,IPO,60
2010-12,PWO,60
2010-12,RMWMO,62
2010-12,RTWQ,60
2010-12,EH,9
2010-12,EI,9
2010-12,ESupC,9
2010-12,PF,9
2010-12,PM,9
2010-12,RCWP,11
2010-12,RDWO,9
2011-01,EM,1378
2011-01,MF,1293
2011-01,MM,1295
2011-01,CCE,96
2011-01,DC,96
2011-01,IPO,96
2011-01,PWO,96
2011-01,RMWMO,98
2011-01,RTWQ,96
2011-01,EH,11
2011-01,EI,11
2011-01,ESupC,11
2011-01,PF,11
2011-01,PM,11
2011-01,RCWP,13
2011-01,RDWO,11
