date,refactoring,qt
2015-10,EM,2532
2015-10,MF,2483
2015-10,MM,2483
2015-10,EH,13
2015-10,EI,13
2015-10,ESupC,13
2015-10,PF,13
2015-10,PM,13
2015-10,RCWP,13
2015-10,RDWO,13
2015-10,CCE,62
2015-10,DC,62
2015-10,IPO,62
2015-10,PWO,62
2015-10,RMWMO,62
2015-10,RTWQ,62
2015-11,EM,6062
2015-11,MF,5902
2015-11,MM,5902
2015-11,CCE,178
2015-11,DC,178
2015-11,IPO,178
2015-11,PWO,178
2015-11,RMWMO,178
2015-11,RTWQ,178
2015-11,EH,18
2015-11,EI,18
2015-11,ESupC,18
2015-11,PF,18
2015-11,PM,18
2015-11,RCWP,18
2015-11,RDWO,18
2015-12,EM,2749
2015-12,MF,2732
2015-12,MM,2735
2015-12,CCE,28
2015-12,DC,28
2015-12,IPO,28
2015-12,PWO,28
2015-12,RMWMO,28
2015-12,RTWQ,28
2015-12,EH,14
2015-12,EI,14
2015-12,ESupC,14
2015-12,PF,14
2015-12,PM,14
2015-12,RCWP,14
2015-12,RDWO,14
2015-12,ECo,3
2015-12,EF,3
2015-12,HM,3
2016-01,EM,11811
2016-01,MF,11732
2016-01,MM,11739
2016-01,EH,32
2016-01,EI,32
2016-01,ESupC,32
2016-01,PF,32
2016-01,PM,32
2016-01,RCWP,32
2016-01,RDWO,32
2016-01,CCE,104
2016-01,DC,104
2016-01,IPO,104
2016-01,PWO,104
2016-01,RMWMO,104
2016-01,RTWQ,104
2016-01,ECo,7
2016-01,EF,7
2016-01,HM,7
2016-02,EM,318
2016-02,MF,317
2016-02,MM,319
2016-02,ECo,2
2016-02,EF,2
2016-02,HM,2
2016-02,EH,1
2016-02,EI,1
2016-02,ESupC,1
2016-02,PF,1
2016-02,PM,1
2016-02,RCWP,1
2016-02,RDWO,1
2016-03,EM,2708
2016-03,MF,2696
2016-03,MM,2698
2016-03,CCE,18
2016-03,DC,18
2016-03,IPO,18
2016-03,PWO,18
2016-03,RMWMO,20
2016-03,RTWQ,18
2016-03,EH,6
2016-03,EI,6
2016-03,ESupC,6
2016-03,PF,6
2016-03,PM,6
2016-03,RCWP,8
2016-03,RDWO,6
2016-04,EM,822
2016-04,MF,810
2016-04,MM,810
2016-04,CCE,12
2016-04,DC,12
2016-04,IPO,12
2016-04,PWO,12
2016-04,RMWMO,12
2016-04,RTWQ,12
2016-05,EM,9421
2016-05,MF,9380
2016-05,MM,9381
2016-05,CCE,70
2016-05,DC,70
2016-05,IPO,70
2016-05,PWO,70
2016-05,RMWMO,70
2016-05,RTWQ,70
2016-05,EH,30
2016-05,EI,30
2016-05,ESupC,30
2016-05,PF,30
2016-05,PM,30
2016-05,RCWP,30
2016-05,RDWO,30
2016-05,ECo,1
2016-05,EF,1
2016-05,HM,1
2016-06,EM,10608
2016-06,MF,10512
2016-06,MM,10520
2016-06,CCE,108
2016-06,DC,108
2016-06,IPO,108
2016-06,PWO,108
2016-06,RMWMO,108
2016-06,RTWQ,108
2016-06,EH,20
2016-06,EI,20
2016-06,ESupC,20
2016-06,PF,20
2016-06,PM,20
2016-06,RCWP,20
2016-06,RDWO,20
2016-06,ECo,8
2016-06,EF,8
2016-06,HM,8
2016-07,EM,210
2016-07,MF,210
2016-07,MM,210
